leitura,segundo,minuto,intensidadeMinuto
0,238,4,False
0,238,4,False
0,238,4,False
0,239,4,False
0,239,4,False
0,239,4,False
0,240,4,False
0,240,4,False
0,240,4,False
1,241,5,False
0,241,5,False
0,241,5,False
0,242,5,False
0,242,5,False
0,242,5,False
1,243,5,False
0,243,5,False
0,243,5,False
0,244,5,False
0,244,5,False
0,244,5,False
0,245,5,False
0,245,5,False
0,245,5,False
0,246,5,False
0,246,5,False
0,246,5,False
0,247,5,False
0,247,5,False
0,247,5,False
1,248,5,False
0,248,5,False
0,248,5,False
1,249,5,False
0,249,5,False
0,249,5,False
0,250,5,False
0,250,5,False
1,250,5,False
0,251,5,False
1,251,5,False
1,251,5,False
0,252,5,False
0,252,5,False
0,252,5,False
0,253,5,False
0,253,5,False
1,253,5,False
0,254,5,False
0,254,5,False
1,254,5,False
0,255,5,False
0,255,5,False
0,255,5,False
0,256,5,False
0,256,5,False
0,256,5,False
0,257,5,False
0,257,5,False
0,257,5,False
1,258,5,False
0,258,5,False
1,258,5,False
0,259,5,False
0,259,5,False
0,259,5,False
1,260,5,False
0,260,5,False
0,260,5,False
0,261,5,False
0,261,5,False
1,261,5,False
1,262,5,False
0,262,5,False
0,262,5,False
0,263,5,False
0,263,5,False
0,263,5,False
0,264,5,False
1,264,5,False
0,264,5,False
0,265,5,False
0,265,5,False
1,265,5,False
1,266,5,False
1,266,5,False
0,266,5,False
0,267,5,False
1,267,5,False
1,267,5,False
0,268,5,False
0,268,5,False
0,268,5,False
0,269,5,False
0,269,5,False
0,269,5,False
0,270,5,False
0,270,5,False
0,270,5,False
0,271,5,False
0,271,5,False
0,271,5,False
1,272,5,False
0,272,5,False
0,272,5,False
0,273,5,False
0,273,5,False
0,273,5,False
0,274,5,False
0,274,5,False
0,274,5,False
1,275,5,False
0,275,5,False
0,275,5,False
1,276,5,False
1,276,5,False
0,276,5,False
0,277,5,False
0,277,5,False
0,277,5,False
1,278,5,False
1,278,5,False
1,278,5,False
0,279,5,False
1,279,5,False
0,279,5,False
1,280,5,False
0,280,5,False
0,280,5,False
0,281,5,False
1,281,5,False
0,281,5,False
0,282,5,False
1,282,5,False
0,282,5,False
0,283,5,False
0,283,5,False
0,283,5,False
0,284,5,False
1,284,5,False
0,284,5,False
0,285,5,False
1,285,5,False
1,285,5,False
1,286,5,False
0,286,5,False
0,286,5,False
0,287,5,False
0,287,5,False
1,287,5,False
1,288,5,False
1,288,5,False
0,288,5,False
1,289,5,False
1,289,5,False
1,289,5,False
1,290,5,False
1,290,5,False
0,290,5,False
0,291,5,False
1,291,5,False
0,291,5,False
1,292,5,False
0,292,5,False
0,292,5,False
0,293,5,False
0,293,5,False
0,293,5,False
1,294,5,False
0,294,5,False
0,294,5,False
0,295,5,False
0,295,5,False
1,295,5,False
0,296,5,False
0,296,5,False
0,296,5,False
0,297,5,False
0,297,5,False
1,297,5,False
0,298,5,False
0,298,5,False
0,298,5,False
0,299,5,False
0,299,5,False
1,299,5,False
1,300,5,False
1,300,5,False
0,300,5,False
1,301,6,False
0,301,6,False
0,301,6,False
0,302,6,False
1,302,6,False
0,302,6,False
0,303,6,False
0,303,6,False
0,303,6,False
0,304,6,False
0,304,6,False
1,304,6,False
0,305,6,False
0,305,6,False
0,305,6,False
0,306,6,False
0,306,6,False
0,306,6,False
0,307,6,False
0,307,6,False
0,307,6,False
0,308,6,False
0,308,6,False
1,308,6,False
1,309,6,False
0,309,6,False
1,309,6,False
1,310,6,False
1,310,6,False
0,310,6,False
0,311,6,False
0,311,6,False
0,311,6,False
0,312,6,False
1,312,6,False
1,312,6,False
0,313,6,False
0,313,6,False
0,313,6,False
0,314,6,False
1,314,6,False
0,314,6,False
0,315,6,False
1,315,6,False
0,315,6,False
0,316,6,False
0,316,6,False
0,316,6,False
0,317,6,False
0,317,6,False
0,317,6,False
0,318,6,False
0,318,6,False
0,318,6,False
0,319,6,False
0,319,6,False
0,319,6,False
0,320,6,False
1,320,6,False
0,320,6,False
0,321,6,False
1,321,6,False
0,321,6,False
0,322,6,False
0,322,6,False
0,322,6,False
0,323,6,False
0,323,6,False
1,323,6,False
1,324,6,False
0,324,6,False
0,324,6,False
0,325,6,False
0,325,6,False
0,325,6,False
0,326,6,False
0,326,6,False
1,326,6,False
0,327,6,False
0,327,6,False
0,327,6,False
0,328,6,False
0,328,6,False
0,328,6,False
0,329,6,False
0,329,6,False
0,329,6,False
0,330,6,False
0,330,6,False
0,330,6,False
1,331,6,False
1,331,6,False
0,331,6,False
1,332,6,False
1,332,6,False
0,332,6,False
1,333,6,False
1,333,6,False
0,333,6,False
0,334,6,False
0,334,6,False
0,334,6,False
0,335,6,False
0,335,6,False
0,335,6,False
0,336,6,False
1,336,6,False
0,336,6,False
0,337,6,False
1,337,6,False
0,337,6,False
0,338,6,False
0,338,6,False
0,338,6,False
1,339,6,False
0,339,6,False
0,339,6,False
1,340,6,False
1,340,6,False
1,340,6,False
0,341,6,False
0,341,6,False
0,341,6,False
1,342,6,False
0,342,6,False
0,342,6,False
0,343,6,False
0,343,6,False
0,343,6,False
0,344,6,False
0,344,6,False
0,344,6,False
0,345,6,False
1,345,6,False
0,345,6,False
0,346,6,False
0,346,6,False
1,346,6,False
0,347,6,False
0,347,6,False
1,347,6,False
0,348,6,False
0,348,6,False
0,348,6,False
0,349,6,False
1,349,6,False
0,349,6,False
0,350,6,False
0,350,6,False
0,350,6,False
0,351,6,False
1,351,6,False
0,351,6,False
1,352,6,False
1,352,6,False
0,352,6,False
0,353,6,False
0,353,6,False
0,353,6,False
0,354,6,False
1,354,6,False
0,354,6,False
0,355,6,False
1,355,6,False
0,355,6,False
0,356,6,False
0,356,6,False
0,356,6,False
1,357,6,False
0,357,6,False
0,357,6,False
1,358,6,False
0,358,6,False
1,358,6,False
1,359,6,False
0,359,6,False
0,359,6,False
0,360,6,False
0,360,6,False
0,360,6,False
0,361,7,False
0,361,7,False
0,361,7,False
1,362,7,False
0,362,7,False
0,362,7,False
0,363,7,False
0,363,7,False
0,363,7,False
0,364,7,False
0,364,7,False
0,364,7,False
0,365,7,False
0,365,7,False
0,365,7,False
0,366,7,False
0,366,7,False
0,366,7,False
0,367,7,False
0,367,7,False
0,367,7,False
0,368,7,False
0,368,7,False
0,368,7,False
0,369,7,False
0,369,7,False
0,369,7,False
0,370,7,False
1,370,7,False
0,370,7,False
0,371,7,False
0,371,7,False
0,371,7,False
1,372,7,False
0,372,7,False
0,372,7,False
0,373,7,False
0,373,7,False
0,373,7,False
0,374,7,False
0,374,7,False
0,374,7,False
0,375,7,False
0,375,7,False
0,375,7,False
0,376,7,False
1,376,7,False
0,376,7,False
0,377,7,False
0,377,7,False
1,377,7,False
0,378,7,False
0,378,7,False
1,378,7,False
0,379,7,False
0,379,7,False
1,379,7,False
0,380,7,False
1,380,7,False
1,380,7,False
0,381,7,False
0,381,7,False
0,381,7,False
1,382,7,False
0,382,7,False
1,382,7,False
0,383,7,False
0,383,7,False
0,383,7,False
1,384,7,False
0,384,7,False
0,384,7,False
1,385,7,False
0,385,7,False
0,385,7,False
1,386,7,False
0,386,7,False
0,386,7,False
0,387,7,False
0,387,7,False
0,387,7,False
0,388,7,False
0,388,7,False
0,388,7,False
1,389,7,False
0,389,7,False
1,389,7,False
0,390,7,False
0,390,7,False
0,390,7,False
0,391,7,False
