Id,leitura,segundo,minuto,intensidadeMinuto,local,combustivel
189,1,64,2,False,Banco do Motorista,Gasolina
190,0,64,2,False,Banco do Motorista,Gasolina
191,0,64,2,False,Banco do Motorista,Gasolina
192,1,65,2,False,Banco do Motorista,Gasolina
193,0,65,2,False,Banco do Motorista,Gasolina
194,1,65,2,False,Banco do Motorista,Gasolina
195,0,66,2,False,Banco do Motorista,Gasolina
196,1,66,2,False,Banco do Motorista,Gasolina
197,1,66,2,False,Banco do Motorista,Gasolina
198,1,67,2,False,Banco do Motorista,Gasolina
199,1,67,2,False,Banco do Motorista,Gasolina
200,0,67,2,False,Banco do Motorista,Gasolina
201,1,68,2,False,Banco do Motorista,Gasolina
202,0,68,2,False,Banco do Motorista,Gasolina
203,1,68,2,False,Banco do Motorista,Gasolina
204,1,69,2,False,Banco do Motorista,Gasolina
205,0,69,2,False,Banco do Motorista,Gasolina
206,1,69,2,False,Banco do Motorista,Gasolina
207,0,70,2,False,Banco do Motorista,Gasolina
208,1,70,2,False,Banco do Motorista,Gasolina
209,1,70,2,False,Banco do Motorista,Gasolina
210,1,71,2,False,Banco do Motorista,Gasolina
211,1,71,2,False,Banco do Motorista,Gasolina
212,1,71,2,False,Banco do Motorista,Gasolina
213,0,72,2,False,Banco do Motorista,Gasolina
214,0,72,2,False,Banco do Motorista,Gasolina
215,1,72,2,False,Banco do Motorista,Gasolina
216,0,73,2,False,Banco do Motorista,Gasolina
217,0,73,2,False,Banco do Motorista,Gasolina
218,0,73,2,False,Banco do Motorista,Gasolina
219,1,74,2,False,Banco do Motorista,Gasolina
220,0,74,2,False,Banco do Motorista,Gasolina
221,1,74,2,False,Banco do Motorista,Gasolina
222,0,75,2,False,Banco do Motorista,Gasolina
223,1,75,2,False,Banco do Motorista,Gasolina
224,0,75,2,False,Banco do Motorista,Gasolina
225,0,76,2,False,Banco do Motorista,Gasolina
226,0,76,2,False,Banco do Motorista,Gasolina
227,0,76,2,False,Banco do Motorista,Gasolina
228,1,77,2,False,Banco do Motorista,Gasolina
229,0,77,2,False,Banco do Motorista,Gasolina
